Date,platforms,number_of_fans
2023-10-06,SoundCloud,4514904
2023-10-13,SoundCloud,4516187
2023-10-20,SoundCloud,4517666
2023-10-27,SoundCloud,4518760
2023-11-03,SoundCloud,4519929
2023-11-10,SoundCloud,4521039
2023-11-17,SoundCloud,4522082
2023-11-24,SoundCloud,4523236
2023-12-01,SoundCloud,4524087
2023-12-08,SoundCloud,4525355
2023-12-15,SoundCloud,4526596
2023-12-22,SoundCloud,4527769
2023-12-29,SoundCloud,4529297
2024-01-05,SoundCloud,4530504
2024-01-12,SoundCloud,4531789
2024-01-19,SoundCloud,4533121
2024-01-26,SoundCloud,4534976
2024-02-02,SoundCloud,4535849
2024-02-09,SoundCloud,4536695
2024-02-16,SoundCloud,4538104
2024-02-23,SoundCloud,4539517
2024-03-01,SoundCloud,4541077
2024-03-08,SoundCloud,4542742
2024-03-15,SoundCloud,4544082
2024-03-22,SoundCloud,4545432
2024-03-29,SoundCloud,4548008
2024-04-05,SoundCloud,4548834
2024-04-12,SoundCloud,4550561
2024-04-19,SoundCloud,4553311
2024-04-26,SoundCloud,4554639
2024-05-03,SoundCloud,4556486
2024-05-10,SoundCloud,4559073
2024-05-17,SoundCloud,4559453
2024-05-24,SoundCloud,4559833
2024-05-31,SoundCloud,4560213
2024-06-07,SoundCloud,4567431
2024-06-14,SoundCloud,4569271
2024-06-21,SoundCloud,4572933
2024-06-28,SoundCloud,4573623
2024-07-05,SoundCloud,4575030
2024-07-12,SoundCloud,4575706
2024-07-19,SoundCloud,4578234
2024-07-26,SoundCloud,4580408
2024-08-02,SoundCloud,4580830
2024-08-09,SoundCloud,4581267
2024-08-16,SoundCloud,4581703
2024-08-23,SoundCloud,4587374
2024-08-30,SoundCloud,4587374
2020-01-03,Spotify,15418745
2020-01-10,Spotify,15568758
2020-01-17,Spotify,15688508
2020-01-24,Spotify,15875559
2020-01-31,Spotify,16012999
2020-02-07,Spotify,16146677
2020-02-14,Spotify,16277951
2020-02-21,Spotify,16447276
2020-02-28,Spotify,16738020
2020-03-06,Spotify,16895416
2020-03-13,Spotify,17062973
2020-03-20,Spotify,17198240
2020-03-27,Spotify,17351472
2020-04-03,Spotify,17500473
2020-04-10,Spotify,17656836
2020-04-17,Spotify,17811314
2020-04-24,Spotify,17971217
2020-05-01,Spotify,18098025
2020-05-08,Spotify,18109367
2020-05-15,Spotify,18269760
2020-05-22,Spotify,18469121
2020-05-29,Spotify,18656636
2020-06-05,Spotify,18863036
2020-06-12,Spotify,19064161
2020-06-19,Spotify,19261034
2020-06-26,Spotify,19498641
2020-07-03,Spotify,19734560
2020-07-10,Spotify,19900532
2020-07-17,Spotify,20266502
2020-07-24,Spotify,20571169
2020-07-31,Spotify,20797012
2020-08-07,Spotify,21156808
2020-08-14,Spotify,21388228
2020-08-21,Spotify,21629508
2020-08-28,Spotify,21942691
2020-09-04,Spotify,22188040
2020-09-11,Spotify,22420089
2020-09-18,Spotify,22644335
2020-09-25,Spotify,22907411
2020-10-02,Spotify,23166810
2020-10-09,Spotify,23458637
2020-10-16,Spotify,23709891
2020-10-23,Spotify,23995703
2020-10-30,Spotify,24277643
2020-11-06,Spotify,24517011
2020-11-13,Spotify,24755789
2020-11-20,Spotify,25021356
2020-11-27,Spotify,25433968
2020-12-04,Spotify,25722543
2020-12-11,Spotify,26011558
2020-12-18,Spotify,26271289
2020-12-25,Spotify,26531653
2021-01-01,Spotify,26843510
2021-01-08,Spotify,27117296
2021-01-15,Spotify,27411120
2021-01-22,Spotify,27730580
2021-01-29,Spotify,28066691
2021-02-05,Spotify,28491186
2021-02-12,Spotify,28844922
2021-02-19,Spotify,29180179
2021-02-26,Spotify,29546087
2021-03-05,Spotify,29929809
2021-03-12,Spotify,30260491
2021-03-19,Spotify,30646424
2021-03-26,Spotify,30704494
2021-04-02,Spotify,30881875
2021-04-09,Spotify,31205335
2021-04-16,Spotify,31513676
2021-04-23,Spotify,31752666
2021-04-30,Spotify,31890009
2021-05-07,Spotify,32172396
2021-05-14,Spotify,32442489
